"charger_station","location","approx_coordinates","objectid"
"Skövde Norra Ryd | GITO","Rydsdalsvägen 4, 54965 Skövde","58°26'22.2""N 13°51'45.2""E","19"
"Åsbäcksvägen 5","Åsbäcksvägen 5, 66434 Grums","59°21'51.7""N 13°8'29.2""E","24"
"Nyponvägen 3","Nyponvägen 3, 34132 Ljungby","56°48'33.9""N 13°54'20.9""E","553"
"Ulvarydsvägen","Ulvarydsvägen, 28535 Markaryd","56°26'49.2""N 13°36'44.2""E","554"
"Vattenfall - Borgavägen 8","Vattenfall - Borgavägen 8, 91704 Borgafjäll","64°49'59.9""N 15°1'27.6""E","645"
"Gislaveds Energipark  DC","Stegvägen 3, 33292 Gislaved","57°17'19.6""N 13°35'38.5""E","99"
"LoadIT","Färilavägen 1, 82794 Ljusdal","61°49'14.1""N 16°3'33.9""E","136"
"Borås Einride Station","Ryssnäsgatan 12, 50464 Borås","57°41'24.8""N 12°49'33.9""E","224"
"Viringe","Stridslyckegatan 4, 59535 Mjölby","58°19'21.4""N 15°5'32.5""E","293"
"E00407 E00431  Falutorget","Falutorget, 41104 Göteborg","57°43'3.3""N 11°58'52.6""E","8"
"Lovartsgatan","Lovartsgatan 3, 65460 Karlstad","59°22'36.2""N 13°33'40.7""E","559"
"Skellefteå Kraft Truckstop Skelleftehamn","Näsuddsvägen, 93232 Skelleftehamn","64°41'5.8""N 21°14'18.0""E","566"
"Ekgatan 1","Ekgatan 1, 45337 Lysekil","58°16'55.1""N 11°27'44.2""E","573"
"Motorhalland Halmstad CCS","Bäckagårdsvägen 121, 30241 Halmstad","56°40'21.6""N 12°47'38.2""E","3"
"Be-Ge Lastbilar","Södra Fabriksgatan 12, 57230 Oskarshamn","57°15'22.1""N 16°26'1.6""E","652"
"Stockarydsterminalen 1.1","Terminalvägen 7, 57494 Vetlanda","57°18'52.5""N 14°34'38.5""E","443"
"Lecab | Lastbilar","Välsviksleden 210, 65639 Karlstad","59°23'32.6""N 13°34'11.5""E","26"
"Varberg Einride Station","Gunnestorpsvägen, 43248 Varberg","57°10'4.9""N 12°16'27.9""E","463"
"Börjessons Lastbilar AB Kristianstad","Optovägen 3, 29162 Kristianstad","56°0'12.2""N 14°6'30.5""E","666"
"Jula Falköping Terminal DC","Energigatan 4, 52136 Falköping","58°11'6.3""N 13°34'22.1""E","16"
"OKQ8 Truck Värnamo Bredastensvägen 3","Bredastensvägen 3, 33144 Värnamo","57°9'39.0""N 14°4'34.6""E","442"
"OKQ8 Truck Ödeshög Liljekonvaljvägen 3","Liljekonvaljvägen 3, 59931 Ödeshög","58°13'33.5""N 14°40'11.5""E","340"
"OKQ8 Truck Jönköping Kraftgatan 13","Kraftgatan 13, 55303 Jönköping","57°44'48.4""N 14°9'43.1""E","339"
"OKQ8 Truck Skellefteå Nöppelbergsvägen 1","Nöppelbergsvägen 1, 93176 Skellefteå","64°45'46.2""N 21°0'3.5""E","368"
"OKQ8 Truck Örebro Berglundavägen 3a","Berglundavägen 3a, 70227 Örebro","59°14'16.3""N 15°7'27.3""E","350"
"OKQ8 Truck Mora Tallvägen 8","Tallvägen 8, 79252 Mora","61°1'16.1""N 14°35'29.7""E","361"
"OKQ8 Truck Torsby Toria-Center","Toria-Center, 68523 Torsby","60°7'52.6""N 12°59'35.0""E","358"
"OKQ8 Truck Luleå Krossvägen 3","Krossvägen 3, 97345 Luleå","65°36'20.8""N 22°2'49.5""E","370"
"OKQ8 Truck Halmstad","Laholmsvägen 206, 30260 Halmstad","56°39'19.6""N 12°53'58.7""E","334"
"OKQ8 Truck Sollentuna Knistavägen 3","Knistavägen 3, 19162 Sollentuna","59°25'58.4""N 17°55'40.0""E","353"
"OKQ8 Truck Skellefteå Tjärnvägen 7","Tjärnvägen 7, 93161 Skellefteå","64°43'52.2""N 20°58'10.7""E","367"
"OKQ8 Truck Borlänge Smedjebacksvägen 3","Smedjebacksvägen 3, 78463 Borlänge","60°26'47.1""N 15°29'12.9""E","359"
"OKQ8 Truck Uppsala Bolandsgatan 8B","Bolandsgatan 8B, 75323 Uppsala","59°51'16.6""N 17°40'30.9""E","356"
"OKQ8 Truck Växjö Torsten Ullmans väg 4","Torsten Ullmans väg 4,, 35250 Växjö","56°54'40.9""N 14°43'31.4""E","336"
"OKQ8 Truck Norrtälje Görlavägen 1","Görlavägen 1, 76141 Norrtälje","59°44'21.4""N 18°41'24.3""E","355"
"OKQ8 Truck Lidköping Björkhagsgatan","Björkhagsgatan 5, 53140 Lidköping","58°29'30.5""N 13°11'28.6""E","344"
"OKQ8 Truck Norrköping Skärblackavägen 4","Skärblackavägen 4, 60597 Norrköping","58°34'6.8""N 16°4'46.8""E","346"
"OKQ8 Truck Västerås Omformargatan 1","Omformargatan 1, 72137 Västerås","59°38'51.0""N 16°34'3.8""E","354"
"OKQ8 Truck Malmö Ljusterögatan 8","Ljusterögatan 8, 21124 Malmö","55°37'40.5""N 13°1'43.8""E","330"
"OKQ8 Truck Jordbro Haninge","Dåntorpsvägen 7, 13650 Jordbro","59°8'45.1""N 18°7'12.7""E","349"
"OKQ8 Truck Skövde","Södra Aspelundsvägen 9, 54134 Skövde","58°22'56.8""N 13°52'48.1""E","342"
"OKQ8 Truck Örnsköldsvik","Hästmarksvägen 22, 89138 Örnsköldsvik","63°18'9.8""N 18°45'6.7""E","366"
"OKQ8 Truck Umeå Mineralvägen","Mineralvägen, 90750 Umeå","63°48'40.6""N 20°19'39.7""E","451"
"OKQ8 Truck Borås Prognosgatan 5","Prognosgatan 5, 50464 Borås","57°41'14.7""N 12°48'24.4""E","338"
"Vattenfall - Lastbil - Västerängsvägen 22","Vattenfall - Lastbil - Västerängsvägen 22, 54235 Mariestad","58°41'5.3""N 13°50'26.0""E","574"
"Vattenfall - Lastbil - Iduns väg 102","Vattenfall - Lastbil - Iduns väg 102, 75460 Uppsala","59°53'16.9""N 17°39'54.0""E","31"
"OKQ8 Truck Linköping Kylarevägen 1","Kylarevägen 1, 58723 Linköping","58°23'58.4""N 15°39'12.7""E","343"
"OKQ8 Truck Vänersborg","Stampgatan 14, 46273 Vänersborg","58°20'20.9""N 12°14'28.9""E","341"
"OKQ8 Truck Tvååker Himle","Spannarp 30, 43277 Tvååker","57°3'44.5""N 12°21'6.9""E","337"
